text,label
Please just tell me things will get better.,seeking_support
I can't handle this anymore.,venting
I think I’ve grown emotionally in the last few months.,reflecting
"Today was a normal day, nothing special.",sharing_update
Sometimes I wonder why I react the way I do.,reflecting
I really need someone to talk to.,seeking_support
I don't know what to do anymore.,seeking_support
Everything just feels like it's falling apart.,venting
Can you help me calm down?,seeking_support
Everything just feels like it's falling apart.,venting
I've been analyzing my emotions recently.,reflecting
Please just tell me things will get better.,seeking_support
I don't know what to do anymore.,seeking_support
Should I talk to a therapist about this?,asking_question
Please just tell me things will get better.,seeking_support
I think I’ve grown emotionally in the last few months.,reflecting
"Not much happened today, just resting.",sharing_update
How do I deal with anxiety attacks?,asking_question
I’ve been thinking a lot about my behavior lately.,reflecting
I’m feeling okay at the moment.,sharing_update
I guess I just need to understand myself better.,reflecting
Why does this always happen to me?,venting
I can't handle this anymore.,venting
"Not much happened today, just resting.",sharing_update
Sometimes I wonder why I react the way I do.,reflecting
I guess I just need to understand myself better.,reflecting
Please just tell me things will get better.,seeking_support
What should I do when I feel this way?,seeking_support
Everything just feels like it's falling apart.,venting
I don't know what to do anymore.,seeking_support
Can you help me calm down?,seeking_support
I’m feeling okay at the moment.,sharing_update
I'm tired of pretending I'm okay.,venting
Please just tell me things will get better.,seeking_support
Can you help me calm down?,seeking_support
Can stress cause physical pain?,asking_question
I've been analyzing my emotions recently.,reflecting
I'm tired of pretending I'm okay.,venting
I’ve been thinking a lot about my behavior lately.,reflecting
I'm so done with everything right now.,venting
Sometimes I wonder why I react the way I do.,reflecting
I'm tired of pretending I'm okay.,venting
"Had a decent day, managed to read a book.",sharing_update
I’ve been thinking a lot about my behavior lately.,reflecting
What should I do when I feel this way?,seeking_support
I’m feeling okay at the moment.,sharing_update
Can stress cause physical pain?,asking_question
Please just tell me things will get better.,seeking_support
Why does this always happen to me?,venting
Is it normal to feel this sad without a reason?,asking_question
What are some ways to stop overthinking?,asking_question
What should I do when I feel this way?,seeking_support
What are some ways to stop overthinking?,asking_question
What should I do when I feel this way?,seeking_support
I went for a walk and it helped a little.,sharing_update
I've been analyzing my emotions recently.,reflecting
How do I deal with anxiety attacks?,asking_question
Can stress cause physical pain?,asking_question
I guess I just need to understand myself better.,reflecting
Why does this always happen to me?,venting
I'm tired of pretending I'm okay.,venting
I went for a walk and it helped a little.,sharing_update
I'm so done with everything right now.,venting
Everything just feels like it's falling apart.,venting
Can you help me calm down?,seeking_support
How do I deal with anxiety attacks?,asking_question
Can stress cause physical pain?,asking_question
Everything just feels like it's falling apart.,venting
Can you help me calm down?,seeking_support
Is it normal to feel this sad without a reason?,asking_question
I went for a walk and it helped a little.,sharing_update
"Today was a normal day, nothing special.",sharing_update
Everything just feels like it's falling apart.,venting
Sometimes I wonder why I react the way I do.,reflecting
"Had a decent day, managed to read a book.",sharing_update
I'm so done with everything right now.,venting
"Not much happened today, just resting.",sharing_update
I'm tired of pretending I'm okay.,venting
I can't handle this anymore.,venting
Everything just feels like it's falling apart.,venting
"Not much happened today, just resting.",sharing_update
Can stress cause physical pain?,asking_question
"Not much happened today, just resting.",sharing_update
Can stress cause physical pain?,asking_question
Why does this always happen to me?,venting
"Today was a normal day, nothing special.",sharing_update
I’m feeling okay at the moment.,sharing_update
I don't know what to do anymore.,seeking_support
I'm so done with everything right now.,venting
Can stress cause physical pain?,asking_question
"Not much happened today, just resting.",sharing_update
Should I talk to a therapist about this?,asking_question
Why does this always happen to me?,venting
"Today was a normal day, nothing special.",sharing_update
Can stress cause physical pain?,asking_question
What are some ways to stop overthinking?,asking_question
I don't know what to do anymore.,seeking_support
Sometimes I wonder why I react the way I do.,reflecting
What should I do when I feel this way?,seeking_support
Why does this always happen to me?,venting
"Not much happened today, just resting.",sharing_update
I don't know what to do anymore.,seeking_support
Is it normal to feel this sad without a reason?,asking_question
I’ve been thinking a lot about my behavior lately.,reflecting
What are some ways to stop overthinking?,asking_question
Is it normal to feel this sad without a reason?,asking_question
How do I deal with anxiety attacks?,asking_question
What should I do when I feel this way?,seeking_support
I guess I just need to understand myself better.,reflecting
I’ve been thinking a lot about my behavior lately.,reflecting
I really need someone to talk to.,seeking_support
Can stress cause physical pain?,asking_question
"Had a decent day, managed to read a book.",sharing_update
Why does this always happen to me?,venting
I’m feeling okay at the moment.,sharing_update
Sometimes I wonder why I react the way I do.,reflecting
I really need someone to talk to.,seeking_support
I think I’ve grown emotionally in the last few months.,reflecting
I really need someone to talk to.,seeking_support
Everything just feels like it's falling apart.,venting
What are some ways to stop overthinking?,asking_question
How do I deal with anxiety attacks?,asking_question
Can you help me calm down?,seeking_support
I really need someone to talk to.,seeking_support
Please just tell me things will get better.,seeking_support
What are some ways to stop overthinking?,asking_question
Why does this always happen to me?,venting
I think I’ve grown emotionally in the last few months.,reflecting
Everything just feels like it's falling apart.,venting
I'm so done with everything right now.,venting
What are some ways to stop overthinking?,asking_question
Please just tell me things will get better.,seeking_support
Why does this always happen to me?,venting
I guess I just need to understand myself better.,reflecting
I guess I just need to understand myself better.,reflecting
I've been analyzing my emotions recently.,reflecting
I think I’ve grown emotionally in the last few months.,reflecting
I guess I just need to understand myself better.,reflecting
"Had a decent day, managed to read a book.",sharing_update
Should I talk to a therapist about this?,asking_question
I guess I just need to understand myself better.,reflecting
I’ve been thinking a lot about my behavior lately.,reflecting
What should I do when I feel this way?,seeking_support
I'm so done with everything right now.,venting
Why does this always happen to me?,venting
I can't handle this anymore.,venting
I’ve been thinking a lot about my behavior lately.,reflecting
I really need someone to talk to.,seeking_support
Everything just feels like it's falling apart.,venting
I'm so done with everything right now.,venting
How do I deal with anxiety attacks?,asking_question
How do I deal with anxiety attacks?,asking_question
I really need someone to talk to.,seeking_support
I really need someone to talk to.,seeking_support
I guess I just need to understand myself better.,reflecting
I'm tired of pretending I'm okay.,venting
"Today was a normal day, nothing special.",sharing_update
Everything just feels like it's falling apart.,venting
Is it normal to feel this sad without a reason?,asking_question
Sometimes I wonder why I react the way I do.,reflecting
I think I’ve grown emotionally in the last few months.,reflecting
What should I do when I feel this way?,seeking_support
Should I talk to a therapist about this?,asking_question
