text,label
I feel numb and disconnected.,depression
My head is constantly buzzing with tasks.,stress
I keep overthinking every little thing.,anxiety
I’m scared of what might go wrong.,anxiety
Had a good chat with a friend.,neutral
Deadlines are piling up and I can't keep up.,stress
I have no time to rest.,stress
I'm so overwhelmed with work.,stress
"It’s a regular day, nothing special.",neutral
I’m feeling pretty normal.,neutral
Everything feels urgent and exhausting.,stress
I’m feeling okay.,neutral
My heart races when I’m around people.,anxiety
I can't stop crying at night.,depression
I have no time to rest.,stress
Just another average day.,neutral
Everything feels pointless.,depression
I’m feeling pretty normal.,neutral
I just want to stay in bed all the time.,depression
There's too much going on in my life right now.,stress
I can't relax even for a moment.,stress
Everything feels urgent and exhausting.,stress
My anxiety is ruining my sleep.,anxiety
My heart races when I’m around people.,anxiety
I’m scared of what might go wrong.,anxiety
I'm so overwhelmed with work.,stress
I have no time to rest.,stress
I feel burnt out.,stress
I can’t take a break without guilt.,stress
I'm juggling too many responsibilities.,stress
Everything feels pointless.,depression
I can't relax even for a moment.,stress
I feel tense all the time.,anxiety
I feel burnt out.,stress
I constantly doubt myself.,anxiety
Nothing excites me anymore.,depression
I can’t stop worrying about the future.,anxiety
I'm juggling too many responsibilities.,stress
I'm juggling too many responsibilities.,stress
Deadlines are piling up and I can't keep up.,stress
Just watching some TV and relaxing.,neutral
I’m feeling okay.,neutral
I’m scared of what might go wrong.,anxiety
I can't relax even for a moment.,stress
My head is constantly buzzing with tasks.,stress
I can’t take a break without guilt.,stress
"Cleaned my room today, feels good.",neutral
Life just doesn't feel worth it.,depression
Just another average day.,neutral
I feel empty and worthless every day.,depression
I'm so overwhelmed with work.,stress
I feel empty and worthless every day.,depression
My head is constantly buzzing with tasks.,stress
I’m scared of what might go wrong.,anxiety
My heart races when I’m around people.,anxiety
I had a sandwich for lunch today.,neutral
"Studied for a while, then took a nap.",neutral
Everything feels urgent and exhausting.,stress
Nothing excites me anymore.,depression
Just another average day.,neutral
I can’t take a break without guilt.,stress
I had a sandwich for lunch today.,neutral
I get anxious in crowded places.,anxiety
I can't stop crying at night.,depression
Everything feels pointless.,depression
"It’s a regular day, nothing special.",neutral
I'm juggling too many responsibilities.,stress
Everything feels urgent and exhausting.,stress
Deadlines are piling up and I can't keep up.,stress
I feel tense all the time.,anxiety
There's too much going on in my life right now.,stress
I feel numb and disconnected.,depression
I'm so overwhelmed with work.,stress
I just want to stay in bed all the time.,depression
I'm so overwhelmed with work.,stress
Went out for a walk in the evening.,neutral
I can't stop crying at night.,depression
It's hard to get out of bed in the morning.,depression
I feel like something bad is going to happen.,anxiety
It's hard to get out of bed in the morning.,depression
Deadlines are piling up and I can't keep up.,stress
I feel like something bad is going to happen.,anxiety
Just another average day.,neutral
I feel like something bad is going to happen.,anxiety
I've lost interest in everything I used to enjoy.,depression
"It’s a regular day, nothing special.",neutral
Everything feels pointless.,depression
I can't relax even for a moment.,stress
Had a good chat with a friend.,neutral
Just watching some TV and relaxing.,neutral
I get anxious in crowded places.,anxiety
I can't relax even for a moment.,stress
I wish I could disappear.,depression
Everything feels pointless.,depression
I had a sandwich for lunch today.,neutral
My anxiety is ruining my sleep.,anxiety
I'm so overwhelmed with work.,stress
Went out for a walk in the evening.,neutral
My anxiety is ruining my sleep.,anxiety
I feel numb and disconnected.,depression
"It’s a regular day, nothing special.",neutral
I can’t take a break without guilt.,stress
"Studied for a while, then took a nap.",neutral
Nothing excites me anymore.,depression
I keep overthinking every little thing.,anxiety
I’m feeling pretty normal.,neutral
Nothing excites me anymore.,depression
I feel numb and disconnected.,depression
I'm juggling too many responsibilities.,stress
I'm so overwhelmed with work.,stress
I just want to stay in bed all the time.,depression
Had a good chat with a friend.,neutral
I had a sandwich for lunch today.,neutral
I'm so overwhelmed with work.,stress
Just another average day.,neutral
I can’t stop worrying about the future.,anxiety
"It’s a regular day, nothing special.",neutral
I can't stop crying at night.,depression
I'm so overwhelmed with work.,stress
Had a good chat with a friend.,neutral
I’m feeling pretty normal.,neutral
I have no time to rest.,stress
Everything feels pointless.,depression
My anxiety is ruining my sleep.,anxiety
Life just doesn't feel worth it.,depression
I’m feeling pretty normal.,neutral
I feel numb and disconnected.,depression
I wish I could disappear.,depression
I can’t stop worrying about the future.,anxiety
It's hard to get out of bed in the morning.,depression
I’m feeling pretty normal.,neutral
Everything feels pointless.,depression
I get anxious in crowded places.,anxiety
I constantly doubt myself.,anxiety
Everything feels urgent and exhausting.,stress
I have no time to rest.,stress
I’m scared of what might go wrong.,anxiety
I feel empty and worthless every day.,depression
What if I fail at everything I do?,anxiety
I’m feeling pretty normal.,neutral
What if I fail at everything I do?,anxiety
I'm juggling too many responsibilities.,stress
Had a good chat with a friend.,neutral
I constantly doubt myself.,anxiety
I feel burnt out.,stress
I'm juggling too many responsibilities.,stress
"Cleaned my room today, feels good.",neutral
I've lost interest in everything I used to enjoy.,depression
Deadlines are piling up and I can't keep up.,stress
I feel empty and worthless every day.,depression
Deadlines are piling up and I can't keep up.,stress
I had a sandwich for lunch today.,neutral
I'm so overwhelmed with work.,stress
I feel burnt out.,stress
"Studied for a while, then took a nap.",neutral
What if I fail at everything I do?,anxiety
"Studied for a while, then took a nap.",neutral
Just watching some TV and relaxing.,neutral
I’m feeling okay.,neutral
My heart races when I’m around people.,anxiety
"It’s a regular day, nothing special.",neutral
I feel empty and worthless every day.,depression
Nothing excites me anymore.,depression
I get anxious in crowded places.,anxiety
Just watching some TV and relaxing.,neutral
I keep overthinking every little thing.,anxiety
"Cleaned my room today, feels good.",neutral
I feel empty and worthless every day.,depression
I feel burnt out.,stress
Just another average day.,neutral
I had a sandwich for lunch today.,neutral
There's too much going on in my life right now.,stress
I just want to stay in bed all the time.,depression
I’m scared of what might go wrong.,anxiety
I feel like something bad is going to happen.,anxiety
I’m feeling pretty normal.,neutral
My heart races when I’m around people.,anxiety
Just watching some TV and relaxing.,neutral
There's too much going on in my life right now.,stress
I'm so overwhelmed with work.,stress
It's hard to get out of bed in the morning.,depression
I can’t stop worrying about the future.,anxiety
I’m scared of what might go wrong.,anxiety
I get anxious in crowded places.,anxiety
Deadlines are piling up and I can't keep up.,stress
Had a good chat with a friend.,neutral
I can't relax even for a moment.,stress
I can’t take a break without guilt.,stress
I can’t take a break without guilt.,stress
I feel like something bad is going to happen.,anxiety
I’m feeling pretty normal.,neutral
I'm juggling too many responsibilities.,stress
I can't relax even for a moment.,stress
I feel empty and worthless every day.,depression
I feel numb and disconnected.,depression
My anxiety is ruining my sleep.,anxiety
Deadlines are piling up and I can't keep up.,stress
I feel like something bad is going to happen.,anxiety
I wish I could disappear.,depression
I feel tense all the time.,anxiety
I can't relax even for a moment.,stress
I can't relax even for a moment.,stress
I've lost interest in everything I used to enjoy.,depression
What if I fail at everything I do?,anxiety
Everything feels pointless.,depression
I get anxious in crowded places.,anxiety
What if I fail at everything I do?,anxiety
I have no time to rest.,stress
"Cleaned my room today, feels good.",neutral
I had a sandwich for lunch today.,neutral
"It’s a regular day, nothing special.",neutral
I can't stop crying at night.,depression
I wish I could disappear.,depression
I can't relax even for a moment.,stress
Just watching some TV and relaxing.,neutral
Had a good chat with a friend.,neutral
"Cleaned my room today, feels good.",neutral
I feel burnt out.,stress
There's too much going on in my life right now.,stress
I wish I could disappear.,depression
I had a sandwich for lunch today.,neutral
"Cleaned my room today, feels good.",neutral
I can’t take a break without guilt.,stress
Just another average day.,neutral
I feel like something bad is going to happen.,anxiety
I'm so overwhelmed with work.,stress
I just want to stay in bed all the time.,depression
Deadlines are piling up and I can't keep up.,stress
I can’t take a break without guilt.,stress
Just watching some TV and relaxing.,neutral
I’m feeling pretty normal.,neutral
Had a good chat with a friend.,neutral
Just another average day.,neutral
I can't relax even for a moment.,stress
Had a good chat with a friend.,neutral
I can’t take a break without guilt.,stress
I’m scared of what might go wrong.,anxiety
I have no time to rest.,stress
"Cleaned my room today, feels good.",neutral
I’m feeling pretty normal.,neutral
"It’s a regular day, nothing special.",neutral
Deadlines are piling up and I can't keep up.,stress
Life just doesn't feel worth it.,depression
Everything feels pointless.,depression
Just watching some TV and relaxing.,neutral
I’m feeling okay.,neutral
Went out for a walk in the evening.,neutral
I wish I could disappear.,depression
My heart races when I’m around people.,anxiety
I'm juggling too many responsibilities.,stress
Everything feels urgent and exhausting.,stress
My heart races when I’m around people.,anxiety
My head is constantly buzzing with tasks.,stress
I feel burnt out.,stress
Deadlines are piling up and I can't keep up.,stress
I can't stop crying at night.,depression
I can’t take a break without guilt.,stress
I've lost interest in everything I used to enjoy.,depression
I keep overthinking every little thing.,anxiety
Had a good chat with a friend.,neutral
Went out for a walk in the evening.,neutral
My heart races when I’m around people.,anxiety
My head is constantly buzzing with tasks.,stress
There's too much going on in my life right now.,stress
I feel burnt out.,stress
It's hard to get out of bed in the morning.,depression
I feel tense all the time.,anxiety
I’m feeling okay.,neutral
My head is constantly buzzing with tasks.,stress
I had a sandwich for lunch today.,neutral
I constantly doubt myself.,anxiety
Everything feels urgent and exhausting.,stress
I'm juggling too many responsibilities.,stress
Everything feels urgent and exhausting.,stress
I keep overthinking every little thing.,anxiety
What if I fail at everything I do?,anxiety
Just another average day.,neutral
I can’t take a break without guilt.,stress
I can't relax even for a moment.,stress
I feel empty and worthless every day.,depression
Deadlines are piling up and I can't keep up.,stress
Nothing excites me anymore.,depression
I just want to stay in bed all the time.,depression
I wish I could disappear.,depression
I feel like something bad is going to happen.,anxiety
"Studied for a while, then took a nap.",neutral
I’m feeling okay.,neutral
Just watching some TV and relaxing.,neutral
I can't stop crying at night.,depression
Deadlines are piling up and I can't keep up.,stress
I wish I could disappear.,depression
My anxiety is ruining my sleep.,anxiety
I feel numb and disconnected.,depression
My heart races when I’m around people.,anxiety
I feel tense all the time.,anxiety
What if I fail at everything I do?,anxiety
I feel numb and disconnected.,depression
I feel numb and disconnected.,depression
I had a sandwich for lunch today.,neutral
Everything feels pointless.,depression
My head is constantly buzzing with tasks.,stress
I just want to stay in bed all the time.,depression
I’m feeling pretty normal.,neutral
It's hard to get out of bed in the morning.,depression
Everything feels urgent and exhausting.,stress
I can't stop crying at night.,depression
"Cleaned my room today, feels good.",neutral
Everything feels urgent and exhausting.,stress
I’m scared of what might go wrong.,anxiety
I feel like something bad is going to happen.,anxiety
I can’t stop worrying about the future.,anxiety
I constantly doubt myself.,anxiety
I've lost interest in everything I used to enjoy.,depression
I’m feeling pretty normal.,neutral
There's too much going on in my life right now.,stress
Life just doesn't feel worth it.,depression
I'm so overwhelmed with work.,stress
I just want to stay in bed all the time.,depression
Had a good chat with a friend.,neutral
Went out for a walk in the evening.,neutral
I had a sandwich for lunch today.,neutral
Deadlines are piling up and I can't keep up.,stress
Nothing excites me anymore.,depression
I get anxious in crowded places.,anxiety
There's too much going on in my life right now.,stress
I have no time to rest.,stress
I’m feeling okay.,neutral
I can't stop crying at night.,depression
My head is constantly buzzing with tasks.,stress
I can't relax even for a moment.,stress
"It’s a regular day, nothing special.",neutral
I can't stop crying at night.,depression
There's too much going on in my life right now.,stress
Just another average day.,neutral
I’m feeling okay.,neutral
I've lost interest in everything I used to enjoy.,depression
Just watching some TV and relaxing.,neutral
My anxiety is ruining my sleep.,anxiety
I’m feeling okay.,neutral
What if I fail at everything I do?,anxiety
"Studied for a while, then took a nap.",neutral
I can’t take a break without guilt.,stress
I feel like something bad is going to happen.,anxiety
I feel empty and worthless every day.,depression
Life just doesn't feel worth it.,depression
I constantly doubt myself.,anxiety
